Datetime,Open,High,Low,Close,Adj Close,Volume
2024-02-02 13:54:00-05:00,494.239990234375,494.30999755859375,494.0799865722656,494.239990234375,494.239990234375,0
2024-02-02 13:55:00-05:00,494.2499084472656,494.31500244140625,494.139892578125,494.1449890136719,494.1449890136719,86759
2024-02-02 13:56:00-05:00,494.1499938964844,494.29998779296875,494.1199951171875,494.2900085449219,494.2900085449219,72136
2024-02-02 13:57:00-05:00,494.2950134277344,494.2950134277344,494.17999267578125,494.2893981933594,494.2893981933594,43448
2024-02-02 13:58:00-05:00,494.2900085449219,494.4200134277344,494.25579833984375,494.2950134277344,494.2950134277344,79435
2024-02-02 13:59:00-05:00,494.2749938964844,494.2749938964844,494.2749938964844,494.2749938964844,494.2749938964844,80760
2024-02-02 14:00:00-05:00,494.29998779296875,494.54998779296875,494.29998779296875,494.5199890136719,494.5199890136719,162820
2024-02-02 14:01:00-05:00,494.5199890136719,494.6300048828125,494.4700012207031,494.54998779296875,494.54998779296875,142616
2024-02-02 14:02:00-05:00,494.5450134277344,494.94000244140625,494.5400085449219,494.8500061035156,494.8500061035156,350299
2024-02-02 14:03:00-05:00,494.8500061035156,494.9800109863281,494.7799987792969,494.80999755859375,494.80999755859375,179768
2024-02-02 14:04:00-05:00,494.79998779296875,494.9100036621094,494.69000244140625,494.7049865722656,494.7049865722656,158366
2024-02-02 14:05:00-05:00,494.70001220703125,494.75,494.56500244140625,494.68939208984375,494.68939208984375,178379
2024-02-02 14:06:00-05:00,494.70001220703125,494.8500061035156,494.69000244140625,494.79998779296875,494.79998779296875,197400
2024-02-02 14:07:00-05:00,494.80999755859375,494.8399963378906,494.6600036621094,494.70001220703125,494.70001220703125,155333
2024-02-02 14:08:00-05:00,494.69000244140625,494.8900146484375,494.69000244140625,494.8699951171875,494.8699951171875,115111
2024-02-02 14:09:00-05:00,494.8699951171875,494.8900146484375,494.79998779296875,494.8299865722656,494.8299865722656,59119
2024-02-02 14:10:00-05:00,494.8299865722656,494.8900146484375,494.760009765625,494.7699890136719,494.7699890136719,116002
2024-02-02 14:11:00-05:00,494.7699890136719,494.94000244140625,494.739990234375,494.9049987792969,494.9049987792969,101450
2024-02-02 14:12:00-05:00,494.8999938964844,494.9700012207031,494.8599853515625,494.94989013671875,494.94989013671875,85076
2024-02-02 14:13:00-05:00,494.94140625,495.0799865722656,494.8550109863281,495.0400085449219,495.0400085449219,248613
2024-02-02 14:14:00-05:00,495.0400085449219,495.2699890136719,495.00030517578125,495.05999755859375,495.05999755859375,240372
2024-02-02 14:15:00-05:00,495.05999755859375,495.17999267578125,494.9649963378906,495.1449890136719,495.1449890136719,165889
2024-02-02 14:16:00-05:00,495.1499938964844,495.2611999511719,495.0899963378906,495.17999267578125,495.17999267578125,134741
2024-02-02 14:17:00-05:00,495.2049865722656,495.2300109863281,495.15008544921875,495.2099914550781,495.2099914550781,106862
2024-02-02 14:18:00-05:00,495.2049865722656,495.3900146484375,495.1499938964844,495.2699890136719,495.2699890136719,362761
2024-02-02 14:19:00-05:00,495.2699890136719,495.2998962402344,494.9700012207031,494.9789123535156,494.9789123535156,147193
2024-02-02 14:20:00-05:00,494.9700012207031,495.1199951171875,494.92999267578125,495.0799865722656,495.0799865722656,492796
2024-02-02 14:21:00-05:00,495.0799865722656,495.1000061035156,494.8900146484375,494.8999938964844,494.8999938964844,121403
2024-02-02 14:22:00-05:00,494.9100036621094,494.95001220703125,494.60919189453125,494.82000732421875,494.82000732421875,302209
2024-02-02 14:23:00-05:00,494.8299865722656,494.9599914550781,494.7799987792969,494.95001220703125,494.95001220703125,160089
2024-02-02 14:24:00-05:00,494.95001220703125,495.0899963378906,494.8599853515625,495.05999755859375,495.05999755859375,120216
2024-02-02 14:25:00-05:00,495.05999755859375,495.1199951171875,494.8699951171875,494.8699951171875,494.8699951171875,111367
2024-02-02 14:26:00-05:00,494.8699951171875,495.0299987792969,494.8599853515625,494.9800109863281,494.9800109863281,71176
2024-02-02 14:27:00-05:00,494.9707946777344,494.9800109863281,494.7799987792969,494.8699951171875,494.8699951171875,90085
2024-02-02 14:28:00-05:00,494.885009765625,494.9700012207031,494.8500061035156,494.8699951171875,494.8699951171875,62057
2024-02-02 14:29:00-05:00,494.8659973144531,494.989990234375,494.82598876953125,494.95001220703125,494.95001220703125,71624
2024-02-02 14:30:00-05:00,494.989990234375,495.0799865722656,494.90008544921875,495.010009765625,495.010009765625,106087
2024-02-02 14:31:00-05:00,495.010009765625,495.0799865722656,494.9360046386719,495.0450134277344,495.0450134277344,129268
2024-02-02 14:32:00-05:00,495.04998779296875,495.239990234375,494.8999938964844,495.19000244140625,495.19000244140625,146699
2024-02-02 14:33:00-05:00,495.20001220703125,495.25,495.16229248046875,495.239990234375,495.239990234375,607711
2024-02-02 14:34:00-05:00,495.2449951171875,495.4150085449219,495.239990234375,495.3999938964844,495.3999938964844,152919
2024-02-02 14:35:00-05:00,495.4100036621094,495.5899963378906,495.2900085449219,495.3699951171875,495.3699951171875,330555
2024-02-02 14:36:00-05:00,495.3699951171875,495.5199890136719,495.3399963378906,495.3900146484375,495.3900146484375,159194
2024-02-02 14:37:00-05:00,495.4100036621094,495.5050048828125,495.3599853515625,495.4750061035156,495.4750061035156,106361
